RepRapFirmware height map file v2 generated at 2026-09-08 14:08, min error -0.060, max error 0.078, mean 0.010, deviation 0.043
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,66.34,182.87,91.99,158.01,-1.00,23.30,22.01,6,4
  0.053,  0.036,  0.004, -0.026, -0.060,      0
      0,  0.040,  0.018, -0.014, -0.046, -0.060
  0.078,  0.067,  0.040,  0.024, -0.021,      0
      0,  0.073,  0.040,  0.018, -0.014, -0.046
